package_name,status,dependencies,resources
eCQMContentR4.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.cqfmeasures,ig-r4; ImplementationGuide-gov.healthit.ecqi.ecqm; Library-2c9280827652d78b0176533b3ced003f; Library-ColorectalCancerScreeningFHIR; Library-BreastCancerScreeningFHIR; Library-2c928082756f7d210175701fb7050113; Library-TJCOverallFHIR-1.0.000; Library-SupplementalDataElementsFHIR4; Library-ChlamydiaScreeningForWomenFHIR; Library-CMS347FHIR; Library-MATGlobalCommonFunctionsFHIR4; Library-2c92808375f569a20175fac7f0cb0366; Library-FHIR-ModelInf; Library-PrimayCariesPreventionFHIR; Library-HbA1cFHIR; Library-AdvancedIllnessandFrailtyExclusionECQMFHIR4; Library-FHIRHelper; Library-HospiceFHIR4; Library-CervicalCancerScreeningFHIR; Library-AdultOutpatientEncountersFHIR4; Library-2c9280827687395501768b938176027f; Measure-2c9280827652d78b0176530f1b450029; Measure-ColorectalCancerScreeningFHIR; Measure-BreastCancerScreeningFHIR; Measure-2c928082756f7d2101756fb85bfd004b; Measure-ChlamydiaScreeningForWomenFHIR; Measure-2c9280827598cdab017599f7eed80226; Measure-CMS347FHIR; Measure-2c928084768c59560176b040988305f7; Measure-2c92808275b98a820175bd2220d500b8; Measure-PrimayCariesPreventionFHIR; Measure-HbA1cFHIR; Measure-CervicalCancerScreeningFHIR
InpatientMedicationAdministrationNHSN.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.core; us.nlm.vsac,ig-r4; ImplementationGuide-hl7.fhir.us.nhsn-med-admi; StructureDefinition-Composition-inpatient-med-admi; StructureDefinition-Condition-lab-confirmed-covid; StructureDefinition-Condition-suspected-covid; StructureDefinition-Observation-lab-sars-cov
CH_LAB_ORDER.tgz,passed,hl7.fhir.r4.core; ch.fhir.ig.ch-orf; hl7.fhir.uv.sdc; ch.fhir.ig.ch-core; ch.fhir.ig.ch-epr-term,ig-r4; ImplementationGuide-ch.fhir.ig.ch-lab-order; Bundle-1-tvt; Bundle-2-pertussi; Bundle-3-gy; Bundle-4-sepsi; Bundle-5-biol-monit; Composition-1-tvt; Composition-2-pertussi; Composition-3-gy; Composition-4-sepsi; Composition-5-biol-monit; Coverage-CoverageFranzMuster; Coverage-HealthInsuranceCard; Organization-Arztpraxi; Organization-Gruppenpraxi; Organization-Kantonsspital; Organization-LaborPipette; Organization-SpeiserRail; Organization-Suva; Patient-BeatBorer; Patient-EmilKummer; Patient-FranzMuster; Patient-HansGuggindieluft; Patient-KlebsiellaKeller; Patient-MarinaRubella; Questionnaire-hematology; Questionnaire-1-tvt; Questionnaire-2-pertussi; Questionnaire-3-gy; Questionnaire-4-sepsi; Questionnaire-5-biol-monit; QuestionnaireResponse-1-tvt; QuestionnaireResponse-2-pertussi; QuestionnaireResponse-3-gy; QuestionnaireResponse-4-sepsi; QuestionnaireResponse-5-biol-monit; ServiceRequest-1-tvt; ServiceRequest-2-pertussi; ServiceRequest-3-gy; ServiceRequest-4-sepsi; ServiceRequest-5-biol-monit; ServiceRequest-lab; Specimen-blood-bactec-plu; Specimen-blood-coag; Specimen-blood; Specimen-cervix-swab; Specimen-lsac; Specimen-serum; Specimen-throat-swab; Specimen-uri; CodeSystem-ig-example; StructureDefinition-ch-lab-order-compositi; StructureDefinition-ch-lab-order-document; StructureDefinition-ch-lab-order-precedentdocument; StructureDefinition-ch-lab-order-questionnaire; StructureDefinition-ch-lab-order-questionnaireresponse; StructureDefinition-ch-lab-order-responsereceiver; StructureDefinition-ch-lab-order-servicerequest; StructureDefinition-ch-lab-order-urgentnoficationcontactfortheresponsetothisdocument; StructureDefinition-ch-lab-order-urgentnoficationcontactforthisdocument; ValueSet-ig-example; ValueSet-servicerequest-categorie; ValueSet-DocumentEntry.typeCode; ValueSet-DocumentEntry.classCode
Covid19Vaccine.tgz,passed,hl7.fhir.r4.core; hl7.fhir.uv.ips; uk.core.r4,ig-r4; ImplementationGuide-devdays.letsbuildafhirspec.igpublisher; Bundle-h1; StructureDefinition-immunization-model; StructureDefinition-extension-administeredproduct; StructureDefinition-immunization-profile; SearchParameter-searchparameter-administeredproduct; StructureDefinition-immunization-adverse-event; ValueSet-meddra-value-set; StructureDefinition-adverse-event-grade; ValueSet-adverse-event-seriousness-value-set; ValueSet-adverse-event-grade-value-set; Patient-mary-roe
openhie.fhir.template.tgz,passed,fhir.base.template,README.md; LICENSE; gitignor; -list
Hl7EuBaseIg.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.eu.base; ValueSet-oid-ehicPersonalId; StructureDefinition-Patient-eu-ehic; ValueSet-iso-ehicCountryCode; StructureDefinition-Coverage-eu-ehic; StructureDefinition-EHIC; ValueSet-uri-ehicPersonalId
OrderCatalogIG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.order-catalog; ValueSet-example-reasons-for-order; ValueSet-example-clinical-focu; Organization-example-lab-organizati; ValueSet-example-normal-contexts-vitamin-d; StructureDefinition-LabServiceDefiniti; StructureDefinition-InputObservationDefiniti; StructureDefinition-ResultInterpretationSummary; StructureDefinition-LimitationSummary; StructureDefinition-LabProcedureDefiniti; StructureDefinition-CatalogHeader; StructureDefinition-SpecimenRequested; StructureDefinition-CatalogMessageDefiniti; StructureDefinition-LabSpecimenDefiniti; StructureDefinition-ItemTransactionResponse; StructureDefinition-ScheduleSummary; StructureDefinition-LabObservationDefiniti; StructureDefinition-RegulatorySummary; StructureDefinition-LabChargeItemDefiniti; StructureDefinition-BillingSummary; StructureDefinition-ItemTransactionRequest; StructureDefinition-ValidityPeriod; StructureDefinition-CatalogReference; StructureDefinition-ServiceBillingCode; ValueSet-bibliography-artifact-type; CodeSystem-laboratory-service-definition-type; ValueSet-catalog-message-events-v; CodeSystem-catalog-message-event; ValueSet-laboratory-service-reimbursability-v; ValueSet-laboratory-service-type; CodeSystem-laboratory-service-reimbursability
IgChMED16AF.tgz,missing mandatory manifest key,,
BulkDataAccess.tgz,missing mandatory manifest key,,
cqf.opioidcds.fhir.template.tgz,passed,cqf.fhir.template,-list; README.md
RDS_IG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-fhir.uv.ResearchDataSharingIG; Endpoint-exampleEndpoint; StructureDefinition-ResearchStudy-ResearchStudy-IEHR; StructureDefinition-Group-Cohort-IEHR; StructureDefinition-Location-ReferenceResearchCenter-IEHR; StructureDefinition-DataSetDefiniti
IHE_MHD.tgz,passed,hl7.fhir.r4.core; ihe.formatcode.fhir,ig-r4; ImplementationGuide-ihe.mhd.fhir; Bundle-xd; CapabilityStatement-IHE.MHD.DocumentRecipient; CapabilityStatement-IHE.MHD.DocumentSource.UnContained; CapabilityStatement-IHE.MHD.DocumentSource.Comprehensive; CapabilityStatement-IHE.MHD.DocumentRecipient.UnContained; CapabilityStatement-IHE.MHD.DocumentResponder; CapabilityStatement-IHE.MHD.DocumentRecipient.Comprehensive; CapabilityStatement-IHE.MHD.DocumentSource; CapabilityStatement-IHE.MHD.DocumentConsumer; StructureDefinition-ihe-sourceId; StructureDefinition-IHE.MHD.UnContained.Comprehensive.DocumentReference; StructureDefinition-ihe-intendedRecipient; StructureDefinition-IHE.MHD.Comprehensive.DocumentReference; StructureDefinition-IHE.MHD.Dummy.ProvideBundle; StructureDefinition-IHE.MHD.UnContained.Comprehensive.ProvideBundle; StructureDefinition-IHE.MHD.RetrieveDocument.Audit.Consumer; CodeSystem-MHDlistType; StructureDefinition-IHE.MHD.FindDocumentLists.Audit.Consumer; StructureDefinition-IHE.MHD.FindDocumentReferencesComprehensiveResponseMessage; StructureDefinition-IHE.MHD.FindDocumentReferences.Audit.Responder; Practitioner-ex-practitioner; SearchParameter-List-DesignationType; StructureDefinition-IHE.MHD.FindDocumentReferencesResponseMessage; DocumentReference-ex-documentreference; DocumentReference-ex-documentreference2; StructureDefinition-IHE.MHD.Minimal.ProvideBundle; StructureDefinition-ihe-authorOrg; StructureDefinition-IHE.MHD.Minimal.Folder; StructureDefinition-IHE.MHD.Minimal.DocumentReference; List-593cd04e-b696-45c1-bc32-39e55a340a48; SearchParameter-List-SourceId; StructureDefinition-IHE.MHD.FindDocumentLists.Audit.Responder; Patient-593cd04e-b696-45c1-bc32-39e55a340a49; Organization-ex-organizati; StructureDefinition-IHE.MHD.Comprehensive.Folder; List-ex-list2; Patient-ex-patient; StructureDefinition-IHE.MHD.Comprehensive.SubmissionSet; ValueSet-MHDlistTypesVS; Binary-ex-b-binary; DocumentReference-593cd04e-b696-45c1-bc32-39e55a340a47; StructureDefinition-IHE.MHD.Comprehensive.ProvideBundle; Device-ex-device; StructureDefinition-IHE.MHD.ProvideBundle.Audit.Recipient; StructureDefinition-IHE.MHD.RetrieveDocument.Audit.Responder; StructureDefinition-IHE.MHD.Minimal.SubmissionSet; StructureDefinition-IHE.MHD.ProvideBundle.Audit.Source; List-ex-list; StructureDefinition-ihe-designationType; StructureDefinition-IHE.MHD.List; StructureDefinition-IHE.MHD.UnContained.Comprehensive.SubmissionSet; StructureDefinition-IHE.MHD.FindDocumentReferences.Audit.Consumer
"HL7 FHIR Implementation Guide: Breast Cancer Data, Release 1 - US Realm (Draft for Comment 2) FHIR Profiles.tgz",missing index.json,,
CN Core Implementation Guide.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-CN-Core-R4; Slot-OutpatientSlot-example; ValueSet-procedure-code-v; ValueSet-contact-relationship-v; StructureDefinition-organization-picture; StructureDefinition-outpatient-slot; StructureDefinition-Diagnose; ValueSet-appointment-status-v; ValueSet-encounter-diet-v; ValueSet-condition-status-v; ValueSet-hierarchy-kind-v; StructureDefinition-ChineseEthnicity; StructureDefinition-hospital-bed; ValueSet-encounter-service-type-v; StructureDefinition-encounter-hospitalized; StructureDefinition-medical-record-documentati; ValueSet-physiological-gender-v; ValueSet-location-role-type-v; StructureDefinition-chief-complaint; StructureDefinition-Nationality; ValueSet-encounter-discharge-disposition-v; StructureDefinition-inspect-request; StructureDefinition-BriefIntroducti; ValueSet-administrative-division-of-China-v; ValueSet-condition-severity-v; ValueSet-request-priority-v; ValueSet-condition-ver-status-v; ValueSet-encounter-status-v; ValueSet-request-status-v; StructureDefinition-source-number; StructureDefinition-Department; ValueSet-countries-and-regions-v; ValueSet-encounter-special-courtesy-v; ValueSet-contact-point-system-v; ValueSet-document-type-v; ValueSet-politic-affiliation-v; ValueSet-diagnosis-role-v; StructureDefinition-PractitionerRole; ValueSet-condition-stage-v; StructureDefinition-sexual-distinction-of-huma; ValueSet-appointment-type-v; ValueSet-encounter-special-arrangements-v; StructureDefinition-AcademicQualificati; StructureDefinition-Practitioner; StructureDefinition-Reference; ValueSet-document-category-v; StructureDefinition-Identifier; StructureDefinition-Coding; ValueSet-operation-status-v; StructureDefinition-outpatient-registration-source; ValueSet-service-type-v; ValueSet-hospitallevel-v; StructureDefinition-outpatient-consultation-room; StructureDefinition-previous-history; ValueSet-location-physical-type-v; ValueSet-Classification-for-organizations-v; StructureDefinition-resource-statu; ValueSet-encounter-participant-type-v; StructureDefinition-CodeableConcept; StructureDefinition-ContactPoint; StructureDefinition-Annotati; ValueSet-encounter-admit-source-v; ValueSet-location-status-v; ValueSet-request-intent-v; ValueSet-practitioner-role-v; StructureDefinition-date-start-work; ValueSet-health-institution-or-organization-category-v; StructureDefinition-laboratory-request; ValueSet-economic-type-classification-v; ValueSet-inspectrequest-category-v; StructureDefinition-is-work-for-multi-org; StructureDefinition-AdministrativeDivisi; ValueSet-laboratoryrequest-category-v; StructureDefinition-request-intent; StructureDefinition-Patient; StructureDefinition-outpatient-schedule; StructureDefinition-Hospital; ValueSet-inspectrequest-orderdetail-v; ValueSet-service-category-v; StructureDefinition-Addre; ValueSet-condition-code-v; ValueSet-laboratoryrequest-orderdetail-v; StructureDefinition-ChineseName; ValueSet-encounter-type-v; StructureDefinition-EndemicArea; ValueSet-act-encounter-code-v; StructureDefinition-request-priority; ValueSet-body-site-v; ValueSet-manifestation-or-symptom-v; StructureDefinition-Period; StructureDefinition-Organizati; ValueSet-practice-setting-code-v; StructureDefinition-politic-affiliati; ValueSet-nationalites-of-PRC-v; ValueSet-condition-stage-type-v
DK_Core.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-dk.fhir.ig.dk-core; StructureDefinition-dk-core-authorization-identifier; StructureDefinition-dk-core-cpr-identifier; StructureDefinition-dk-core-patient; StructureDefinition-lpr3-Identifier; StructureDefinition-dk-core-sor-identifier; StructureDefinition-dk-core-municipalityCode; StructureDefinition-dk-core-RegionalSubDivisionCode; ValueSet-dk-core-cpr-identifier-system; ValueSet-dk-core-MunicipalityCode; ValueSet-dk-core-RegionalSubDivisionCode; CodeSystem-dk-core-cpr-identifier-system; CodeSystem-administrative-gender-supplement; NamingSystem-cpr; CodeSystem-dk-core-municipality-code; CodeSystem-dk-core-municipality-codes-greenland; CodeSystem-dk-core-regional-subdivision-code; CodeSystem-dk-marital-statu; ValueSet-dk-marital-statu; NamingSystem-sor
CH_CRL.tgz,missing mandatory manifest key,,
WhoCrCovid19.tgz,passed,hl7.fhir.r4.core; hl7.fhir.uv.sdc,ig-r4; ImplementationGuide-who.cr.covid19; StructureDefinition-WhoCompositionProvenance; StructureDefinition-WhoCrCompositi; StructureDefinition-who-cr-composition-basic; StructureDefinition-who-cr-encounter; StructureDefinition-WhoCrHcwFacility; StructureDefinition-who-cr-locati; StructureDefinition-who-cr-observation-age; StructureDefinition-who-cr-observation-birth-sex; StructureDefinition-who-cr-observation-comorbiditie; StructureDefinition-who-cr-observation-has-travelled; StructureDefinition-who-cr-observation-lab-test-date; StructureDefinition-who-cr-observation-onset-date; StructureDefinition-who-cr-observation-symptom; StructureDefinition-WhoCrPatient; StructureDefinition-WhoCrQuestionnaireResponseCovid19Surveillance; StructureDefinition-WhoLrDiagnosticReport; StructureDefinition-WhoLrEncounter; StructureDefinition-WhoLrOrganizationLab; StructureDefinition-WhoLrOrganizationOrderingClinic; StructureDefinition-WhoLrPatient; StructureDefinition-WhoLrSpecime; ValueSet-WhoCrValueSetAdmin1; ValueSet-WhoCrValueSetAgeUnit; ValueSet-WhoCrValueSetComorbidity; ValueSet-WhoCrValueSetPatientOutcome; ValueSet-WhoCrValueSetPregnancyTrimester; ValueSet-WhoCrValueSetQuestionnaireResponseAcceptedStatu; ValueSet-WhoCrValueSetReasonForCovid19Testing; ValueSet-WhoCrValueSetSexAtBirth; ValueSet-WhoCrValueSetSubmitted; ValueSet-WhoCrValueSetTestResult; ValueSet-WhoCrValueSetYesN; ValueSet-WhoCrValueSetYesNoUnk; CodeSystem-WhoCrCodeSystemComorbidity; CodeSystem-WhoCrCodeSystemPatientOutcome; CodeSystem-WhoCrCodeSystemPregnancyTrimester; CodeSystem-WhoCrCodeSystemQuestionnaireChoice; CodeSystem-WhoCrCodeSystemReasonForTesting; CodeSystem-WhoCrCodeSystemSubmissionCompleti; ConceptMap-WhoCrConceptMapComorbidityToCiel; ConceptMap-WhoCrConceptMapComorbidityToLoinc; ConceptMap-WhoCrConceptMapPatientAgeUnitsToCiel; ConceptMap-WhoCrConceptMapPatientOutcomeToCiel; ConceptMap-WhoCrConceptMapPatientSexAtBirthToCiel; ConceptMap-WhoCrConceptMapPregnancyTrimesterToCiel; ConceptMap-WhoCrConceptMapReasonForTestingToCiel; ConceptMap-WhoCrConceptMapSubmittedToCiel; ConceptMap-WhoCrConceptMapTestResultToCiel; ConceptMap-WhoCrConceptMapYesNoToCiel; ConceptMap-WhoCrConceptMapYesNoUnknownToCiel; Questionnaire-WhoCrQuestionnaireCovid19Surveillance; StructureDefinition-WhoCrSurveillanceDataDictionary; Questionnaire-WhoLrQuestionnaire
HIVIndicators.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-example.fhir.uv.hiv-indicator; Measure-HIVINDAV1Derived; Measure-hiv-indicator; Measure-HIVINDAV1; Library-HIVIndicator; Library-AgeRange; Library-FHIRComm; Library-HIVINDAV1Derived; Library-HIVINDAV1
AUBaseImplementationGuide.tgz,missing mandatory manifest key,,
