resource,count
LICENSE,2
MessageDefinition-modify-patient-referral,2
StructureDefinition-be-addicti,2
CodeSystem-condition-category,2
ValueSet-practice-setting-code-v,2
ValueSet-encountertype,2
ValueSet-encounter-type-v,2
ValueSet-encounter-status-v,2
ValueSet-encounter-participant-type-v,2
StructureDefinition-encounter-hospitalized,2
ValueSet-DocumentEntry.classCode,2
CodeSystem-be-cs-medication-summary-type,2
ValueSet-pregnancystatus-value,2
ValueSet-prescriptiondrugform,2
ValueSet-prescriptionmedicinalproduct,2
Encounter-example,2
StructureDefinition-educationlevel,2
StructureDefinition-educational-qualificati,2
ValueSet-healthconcerncode,2
StructureDefinition-Attachment,2
ValueSet-ethnicitycode,2
StructureDefinition-backport-topic-canonical,2
StructureDefinition-be-model-addicti,2
CodeSystem-v2-0203,2
StructureDefinition-ext-identifierversi,2
StructureDefinition-us-ph-valueset,2
StructureDefinition-ext-deceased,2
StructureDefinition-ext-dateestimated,2
StructureDefinition-ext-dataabsentrea,2
StructureDefinition-ext-nofixedaddre,2
StructureDefinition-ext-patientbirthsex,2
StructureDefinition-us-ph-specification-bundle,2
StructureDefinition-ext-rolestatu,2
StructureDefinition-ext-servicelanguage,2
StructureDefinition-ext-statusrea,2
StructureDefinition-us-ph-plandefiniti,2
ValueSet-DocumentEntry.typeCode,2
StructureDefinition-ext-aboriginalidentityindicator,2
ValueSet-physiological-gender-v,2
StructureDefinition-ext-aboriginalidentitygroup,2
StructureDefinition-assistance-required,2
ValueSet-procedure-code-v,2
StructureDefinition-domicile-code,2
StructureDefinition-PersonName,2
StructureDefinition-sex-at-birth,2
StructureDefinition-service-area,2
StructureDefinition-hospital-referral,2
StructureDefinition-hospital-referral-response,2
NamingSystem-be-ssi,2
StructureDefinition-Media,2
NamingSystem-be-ns-nihdi-professional,2
ValueSet-service-category-v,2
NamingSystem-be-ns-cnk-code,2
NamingSystem-be-nihdi,2
NamingSystem-be-ehp,2
NamingSystem-be-cbe,2
StructureDefinition-birth-place,2
MessageDefinition-response-patient-referral,2
StructureDefinition-Per,2
MessageDefinition-patient-referral,2
MessageDefinition-notification-discharge,2
MessageDefinition-notification-admit,2
ValueSet-document-category-v,2
ValueSet-document-type-v,2
ValueSet-Classification-for-organizations-v,2
StructureDefinition-degree-of-educati,2
ValueSet-operation-status-v,2
StructureDefinition-be-model-medication-record,2
StructureDefinition-be-model-patientwill,2
CodeSystem-administrative-gender,2
StructureDefinition-AcademicQualificati,2
ValueSet-oid-ehicPersonalId,2
StructureDefinition-dhb,2
StructureDefinition-device-patient-used,2
CodeSystem-aboriginalidentitytype,2
ValueSet-laboratoryrequest-orderdetail-v,2
CodeSystem-cs-hiv-risk-behavior,2
StructureDefinition-be-patientwill,2
StructureDefinition-suburb,2
ValueSet-economic-type-classification-v,2
StructureDefinition-be-provenance,2
CodeSystem-cs-patient-gender,2
StructureDefinition-source-number,2
NamingSystem-be-ns-nihdi-organizati,2
CodeSystem-AHANUBCRevenueCode,2
StructureDefinition-profile-diagnosticreportnote,2
ValueSet-vaccinecode,2
StructureDefinition-profile-coverage,2
StructureDefinition-profile-conditi,2
StructureDefinition-consenttocontact,2
StructureDefinition-profile-communicationrequest,2
StructureDefinition-profile-claimresponse,2
Library-ANCRecommendationA2,2
StructureDefinition-condition-on-practice,2
CodeSystem-measurement-statu,2
StructureDefinition-profile-allergyintolerance,2
StructureDefinition-previous-history,2
ValueSet-be-exposureroute,2
ValueSet-2.16.840.1.113762.1.4.1116.89,2
ValueSet-iso-ehicCountryCode,2
ValueSet-mcode-histology-morphology-behavior-v,2
ValueSet-be-allergyintolerancecode,2
ValueSet-be-causativeagent,2
ValueSet-be-civilstate,2
StructureDefinition-chief-complaint,2
ValueSet-be-contactper,2
ValueSet-mcode-hgvs-v,2
ValueSet-appointment-type-v,2
ValueSet-appointment-status-v,2
ValueSet-mcode-primary-or-uncertain-behavior-cancer-disorder-v,2
StructureDefinition-profile-devicerequest,2
StructureDefinition-profile-smokingstatu,2
StructureDefinition-profile-procedure,2
StructureDefinition-profile-practitionerrole-registry,2
StructureDefinition-profile-practitionerrole,2
StructureDefinition-profile-practitioner-registry,2
ValueSet-mcode-secondary-cancer-disorder-v,2
ValueSet-inspectrequest-category-v,2
StructureDefinition-profile-organizationaffiliati,2
StructureDefinition-profile-observation-result,2
StructureDefinition-profile-observati,2
StructureDefinition-profile-medicationstatement,2
StructureDefinition-profile-medicationdispense,2
StructureDefinition-profile-medicationadministrati,2
StructureDefinition-profile-medicati,2
StructureDefinition-profile-immunizationrecommendati,2
StructureDefinition-profile-immunizati,2
StructureDefinition-profile-goal,2
StructureDefinition-profile-documentreference,2
StructureDefinition-profile-diagnosticreport,2
ValueSet-mcode-hgnc-v,2
ValueSet-be-noallergy,2
ValueSet-chest-ct-proc-code,2
StructureDefinition-administrative-divisi,2
PlanDefinition-opioidcds-04-patient-view,2
PlanDefinition-opioidcds-04,2
StructureDefinition-occupati,2
PlanDefinition-lcs-cds-patient-view,2
PlanDefinition-ANCRecommendationA2,2
ValueSet-2.16.840.1.113883.3.464.1003.101.12.1001,2
ValueSet-AHANUBCRevenueCode,2
ValueSet-us-ph-triggerdefinition-namedevent,2
ValueSet-location-status-v,2
ValueSet-location-role-type-v,2
ValueSet-mcode-genetic-specimen-type-v,2
ValueSet-location-physical-type-v,2
StructureDefinition-nz-citizenship,2
StructureDefinition-nz-ethnicity,2
StructureDefinition-nz-geocode,2
StructureDefinition-nz-residency-statu,2
StructureDefinition-nzeps-long-term-medicati,2
ValueSet-us-core-observation-smokingstatu,2
ValueSet-laboratoryrequest-category-v,2
ValueSet-bmi,2
PlanDefinition-opioidcds-05,2
StructureDefinition-participation-statu,2
PlanDefinition-opioidcds-07,2
PlanDefinition-opioidcds-08,2
StructureDefinition-IHE.FooBar.bodyWeight,2
ValueSet-be-riskmanifestati,2
ValueSet-mcode-condition-status-trend-v,2
StructureDefinition-IHE.FooBar.bloodPressure,2
ValueSet-mcode-clinvar-v,2
ValueSet-mcode-cancer-staging-system-v,2
ValueSet-be-vs-medication-summary-type,2
ValueSet-mcode-cancer-related-surgical-procedure-v,2
ValueSet-mcode-cancer-disorder-v,2
ValueSet-mcode-cancer-disease-status-evidence-type-v,2
ValueSet-mcode-cancer-body-location-v,2
ValueSet-vs-ethnicity,2
PlanDefinition-opioidcds-12-patient-view,2
PlanDefinition-opioidcds-11-patient-view,2
PlanDefinition-opioidcds-11,2
PlanDefinition-opioidcds-10-patient-view,2
PlanDefinition-opioidcds-10,2
ValueSet-uri-ehicPersonalId,2
StructureDefinition-patient-arrive-response,2
Library-FHIRComm,2
StructureDefinition-ext-ethnicity,2
CapabilityStatement-IHE.myProfile.client,2
ValueSet-aboriginalidentitygroup,2
ValueSet-mcode-treatment-termination-reason-v,2
ValueSet-mcode-tumor-marker-test-v,2
ValueSet-contact-point-system-v,2
StructureDefinition-EndemicArea,2
CapabilityStatement-HaCapabilityStatement,2
ValueSet-administrative-division-of-China-v,2
ValueSet-ihe-foobar-blood-pressure-positi,2
ValueSet-adverse-event-seriousness-value-set,2
ValueSet-act-encounter-code-v,2
ValueSet-aboriginalidentityindicator,2
Observation-ex-weight-stone,2
CapabilityStatement-IHE.myProfile.server,2
Observation-ex-weight,2
StructureDefinition-SimpleQuantity,2
ValueSet-mcode-treatment-intent-v,2
Observation-ex-IHE-FooBar-bloodPressure-0,2
ValueSet-mcode-tnm-regional-nodes-category-v,2
StructureDefinition-EHIC,2
ValueSet-mcode-tnm-primary-tumor-category-v,2
CodeSystem-v3-MaritalStatu,2
ValueSet-conditionclinical,2
ValueSet-mcode-tnm-distant-metastases-category-v,2
ValueSet-istat-cittadinanza,1
ValueSet-istat-dug,1
ValueSet-id-90,1
ValueSet-hepatitis-b-2-immunization-provided,1
ValueSet-has-he-ever-beaten-you-when-you-were-pregnant,1
ValueSet-haemoglobin-test,1
ValueSet-fetal-movement,1
ValueSet-id-86,1
ValueSet-id-87,1
ValueSet-gestational-diabetes-mellitus-gdm-risk-counselling-conducted,1
ValueSet-has-he-ever-used-a-weapon-or-threatened-you-with-a-weap,1
ValueSet-has-the-woman-been-subjected-to-intimate-partner-violence,1
ValueSet-id-114,1
ValueSet-id-113,1
ValueSet-has-he-ever-tried-to-strangle-you,1
ValueSet-id-109,1
ValueSet-id-107,1
ValueSet-id-112,1
ValueSet-id-108,1
ValueSet-istat-comune,1
ValueSet-id-110,1
ValueSet-hedismedrecvalueset,1
ValueSet-id-89,1
ValueSet-id-111,1
ValueSet-id-88,1
ValueSet-height,1
ValueSet-hedis-med-rec-practitioner,1
ValueSet-gestational-diabetes-mellitus-gdm-diagnosis-choice,1
ValueSet-hematocrit-ht,1
ValueSet-hepatitis-b-1-immunization-provided,1
ValueSet-healthcare-professional-roles-uv-ip,1
ValueSet-health-institution-or-organization-category-v,1
ValueSet-headcircum,1
ValueSet-heartrate,1
ValueSet-include-associated-data,1
ValueSet-gestational-diabetes-mellitus-gdm-diagnosi,1
ValueSet-id-77,1
ValueSet-iud-insertion-status-value,1
ValueSet-flu-immunization-history-choice,1
ValueSet-flu-immunization-history,1
ValueSet-fetal-presentation-choice,1
ValueSet-id-67,1
ValueSet-fetal-presentati,1
ValueSet-id-68,1
ValueSet-id-76,1
ValueSet-id-69,1
ValueSet-id-70,1
ValueSet-fetal-movement-choice,1
ValueSet-kind-of-relati,1
ValueSet-laboratory-observation-interpretation-v,1
ValueSet-laboratory-service-reimbursability-v,1
ValueSet-laboratory-service-type,1
ValueSet-id-75,1
ValueSet-id-71,1
ValueSet-flu-immunization-provided,1
ValueSet-id-78,1
ValueSet-gestational-age,1
ValueSet-id-79,1
ValueSet-gender-value,1
ValueSet-functional-effect,1
ValueSet-id-105,1
ValueSet-istat-luogoNascita,1
ValueSet-istat-professione,1
ValueSet-istat-provincia,1
ValueSet-fp-recommended-care-value,1
ValueSet-formatcode,1
ValueSet-id-115,1
ValueSet-id-85,1
ValueSet-id-116,1
ValueSet-istat-regione,1
ValueSet-id-82,1
ValueSet-id-81,1
ValueSet-id-80,1
ValueSet-istat-stat,1
ValueSet-istat-titoloStudi,1
ValueSet-id-106,1
ValueSet-hepatitis-b-test-ordered,1
ValueSet-id-104,1
ValueSet-hiv-test-result-choice,1
ValueSet-ihe-pharmaceuticaladvicestatuslist,1
ValueSet-iptp-sp-dose-1-provided,1
ValueSet-hgnc,1
ValueSet-hepatitis-c-test-type-choice,1
ValueSet-hepatitis-c-test-type,1
ValueSet-hepatitis-c-test-result-choice,1
ValueSet-hiv-test-result-value,1
ValueSet-iptp-sp-dose-2-date,1
ValueSet-ihe-acdc-questionnaireresponse-statu,1
ValueSet-ig-example,1
ValueSet-identity-document-type-v,1
ValueSet-id-72,1
ValueSet-hepatitis-c-test-result,1
ValueSet-identifier-use,1
ValueSet-identifier-type,1
ValueSet-id-99,1
ValueSet-hepatitis-c-test-required,1
ValueSet-hgv,1
ValueSet-iptp-sp-dose-1-date,1
ValueSet-id-97,1
ValueSet-iop-method,1
ValueSet-hiv-test-conducted,1
ValueSet-hiv-status-choice,1
ValueSet-hiv-statu,1
ValueSet-information-source,1
ValueSet-hiv-stage-value,1
ValueSet-hiv-positive-counseling-value,1
ValueSet-hiv-diagnosis-date,1
ValueSet-history-of-stis-value,1
ValueSet-historical-indicator-value-set,1
ValueSet-highest-level-of-education-achieved-value,1
ValueSet-high-risk-for-hiv,1
ValueSet-inactive-conditi,1
ValueSet-hiv-test-required,1
ValueSet-high-low-code,1
ValueSet-hiv-test-result,1
ValueSet-inspectrequest-orderdetail-v,1
ValueSet-intactnessVS,1
ValueSet-id-98,1
ValueSet-hepatitis-c-test-ordered,1
ValueSet-hepatitis-b-3-immunization-provided,1
ValueSet-id-95,1
ValueSet-hpi-practitionerrole-status-rea,1
ValueSet-hrex-task-statu,1
ValueSet-hypertensi,1
ValueSet-icd11-vaccines-covid-19,1
ValueSet-id-100,1
ValueSet-id-101,1
ValueSet-id-102,1
ValueSet-id-94,1
ValueSet-id-93,1
ValueSet-id-103,1
ValueSet-hepatitis-b-test-required,1
ValueSet-hiv-test-ordered,1
ValueSet-id-92,1
ValueSet-hepatitis-b-test-conducted,1
ValueSet-id-91,1
ValueSet-hepatitis-b-diagnosis-choice,1
ValueSet-hepatitis-b-diagnosi,1
ValueSet-hepatitis-b-test-result,1
ValueSet-is-he-violently-and-constantly-jealous-of-you,1
ValueSet-hiv-transmission-route,1
ValueSet-ipv-first-line-support-provided,1
ValueSet-hepatitis-c-test-conducted,1
ValueSet-hospice-dispositi,1
ValueSet-hepatitis-c-diagnosis-choice,1
ValueSet-hepatitis-c-diagnosi,1
ValueSet-hepatitis-b-test-type-choice,1
ValueSet-id-96,1
ValueSet-iptp-sp-dose-2-provided,1
ValueSet-hospice-finding,1
ValueSet-hospice-procedure,1
ValueSet-iptp-sp-dose-3-date,1
ValueSet-iptp-sp-dose-3-provided,1
ValueSet-hpi-contactpoint-use,1
ValueSet-hpi-humanname-use,1
ValueSet-hepatitis-b-test-type,1
ValueSet-ipv-enquiry-results-value,1
ValueSet-hepatitis-b-test-result-choice,1
ValueSet-hpi-identifier-use,1
ValueSet-id-74,1
ActivityDefinition-activitydefinition-anc-2800ug-weekly-folic-acid,1
ValueSet-fetal-heartbeat-present,1
ValueSet-contraceptive-use-of-male-condom,1
ValueSet-contact-point-use,1
ValueSet-contact-point-use-v,1
ValueSet-contact-reason-value,1
ValueSet-contact-relationship-v,1
ValueSet-contraception-issues-and-concerns-value,1
ValueSet-contraceptive-use-of-female-condom,1
ValueSet-contraceptivedeliverymethod-value,1
ValueSet-contact-point-other,1
ValueSet-core-problem-finding-situation-event-gps-uv-ip,1
ValueSet-counsel-to-immediately-go-to-the-hospital-if-severe-danger-signs-are-present,1
ValueSet-counseling-recommendations-value,1
ValueSet-counselling-caffeine-reducti,1
ValueSet-counselling-conducted-on-anaemia,1
ValueSet-counselling-conducted-on-birth-preparedness-and-complications-readine,1
ValueSet-contact-point-system,1
ValueSet-conformance-cen-ip,1
ValueSet-counselling-conducted-on-diabetes-mellitus-dm,1
ValueSet-condition-severity-v,1
ValueSet-co-habitants-choice,1
ValueSet-collapsible,1
ValueSet-condition-clinical,1
ValueSet-condition-code-v,1
ValueSet-condition-inheritance-v,1
ValueSet-condition-severity-uv-ip,1
ValueSet-condition-stage-type-v,1
ValueSet-conditions-snomed,1
ValueSet-condition-stage-v,1
ValueSet-condition-status-v,1
ValueSet-condition-ver-status-v,1
ValueSet-conditions-documenting-substance-misuse,1
ValueSet-conditions-icd10,1
ValueSet-conditions-likely-terminal-for-opioid-prescribing,1
ValueSet-counselling-conducted-on-breastfeeding,1
ValueSet-counselling-conducted-on-gestational-diabetes-mellitus-gdm,1
ValueSet-fetal-heart-rate,1
ValueSet-counselling-on-pharmacological-measures-to-relieve-nausea-and-vomiting,1
ValueSet-counselling-on-healthy-eating-and-keeping-physically-active,1
ValueSet-counselling-on-increasing-daily-energy-protein-intake,1
ValueSet-counselling-on-malaria-preventi,1
ValueSet-counselling-on-non-pharma-measures-to-relieve-nausea-and-vomiting,1
ValueSet-counselling-on-non-pharmacological-options-for-varicose-veins-and-oedema,1
ValueSet-counselling-on-non-pharmacological-treatment-for-relief-of-leg-cramp,1
ValueSet-counselling-on-postpartum-family-planning-conducted,1
ValueSet-counselling-on-diet-and-lifestyle-changes-to-prevent-and-relieve-heartbur,1
ValueSet-counselling-on-second-hand-smoke,1
ValueSet-counselling-on-tobacco-cessati,1
ValueSet-counselling-on-use-of-magnesium-and-calcium-to-relieve-leg-cramp,1
ValueSet-countries-and-regions-v,1
ValueSet-coverageCla,1
ValueSet-covid-19-disease,1
ValueSet-counselling-on-dietary-modifications-to-relieve-constipati,1
ValueSet-counselling-on-condom-use,1
ValueSet-counselling-conducted-on-hep-b-negative,1
ValueSet-counselling-conducted-on-rh-factor-negative,1
ValueSet-counselling-conducted-on-hepatitis-b-positive,1
ValueSet-counselling-conducted-on-hepatitis-c-positive,1
ValueSet-counselling-conducted-on-hiv-positive,1
ValueSet-counselling-conducted-on-hiv-risk,1
ValueSet-counselling-conducted-on-hypertensi,1
ValueSet-counselling-conducted-on-malaria-preventi,1
ValueSet-counselling-conducted-on-seeking-care-when-danger-signs-occur,1
ValueSet-counselling-on-caffeine-reducti,1
ValueSet-counselling-conducted-on-tb-screening-positive,1
ValueSet-counselling-not-done-rea,1
ValueSet-counselling-on-alcohol-substance-abuse,1
ValueSet-counselling-on-anc-contact-schedule-conducted,1
ValueSet-counselling-on-antacid-preparations-to-relieve-heartbur,1
ValueSet-counselling-on-balanced-energy-and-protein-dietary-supplementati,1
ValueSet-co-habitant,1
ValueSet-clockFacePositionVS,1
ValueSet-clock-face-position-value-set,1
ValueSet-careplanbirthcontrolmethods-value,1
ValueSet-cancer-type-code,1
ValueSet-cardiac-exam-result,1
ValueSet-cardiac-exam-result-choice,1
ValueSet-care-plan-intent-v,1
ValueSet-care-plan-status-v,1
ValueSet-care-team-category-v,1
ValueSet-case-classification-value,1
ValueSet-buprenorphine-and-methadone-medicati,1
ValueSet-catalog-message-events-v,1
ValueSet-cause-of-death,1
ValueSet-cause-of-death-choice,1
ValueSet-cdc-malignant-cancer-conditi,1
ValueSet-certainty-of-presence-value-set,1
ValueSet-cervical-dilati,1
ValueSet-calcium-supplement,1
ValueSet-breastfeeding-status-value,1
ValueSet-clinical-status-value,1
ValueSet-bodyLandmarkDescriptionVS,1
ValueSet-body-loation-orientation-value-set,1
ValueSet-body-location-qualifier-value-set,1
ValueSet-body-side-value-set,1
ValueSet-body-site-v,1
ValueSet-body-site-value-set,1
ValueSet-body-temperature,1
ValueSet-bodyLocationOrientationVS,1
ValueSet-breast-exam-result-choice,1
ValueSet-bodyLocationQualifierVS,1
ValueSet-bodySideVS,1
ValueSet-bodyheight,1
ValueSet-bodytemp,1
ValueSet-bodyweight,1
ValueSet-breast-exam-result,1
ValueSet-cervical-exam-conducted,1
ValueSet-ch-ehealth-valueset-deletionstatu,1
ValueSet-ch-ig-example,1
ValueSet-chargeitem-status-v,1
ValueSet-ch-vacd-recommendation-categories-v,1
ValueSet-ch-vacd-risks-v,1
ValueSet-ch-vacd-route-of-administration-v,1
ValueSet-ch-vacd-special-case-medication-v,1
ValueSet-ch-vacd-special-case-problems-v,1
ValueSet-ch-vacd-vaccines-v,1
ValueSet-chief-complaint,1
ValueSet-ch-orf-vs-coveragetype,1
ValueSet-choiceConstraint,1
ValueSet-chradorder-vs-example,1
ValueSet-cigarettes-smoked-per-day-value,1
ValueSet-clinical-enquiry-for-alcohol-and-other-substance-use-done,1
ValueSet-clinical-enquiry-for-ipv,1
ValueSet-clinical-exam-type-value,1
ValueSet-ch-vacd-illnesses-undergone-for-immunizaion-v,1
ValueSet-ch-vacd-diseases-v,1
ValueSet-ch-vacd-ch-vaccination-plan-immunizations-v,1
ValueSet-ch-vacd-allergies-immunizations-v,1
ValueSet-ch-rad-order-view-type,1
ValueSet-ch-rad-order-requested-service,1
ValueSet-ch-rad-order-reason-for-exam,1
ValueSet-ch-rad-order-order-detail-type,1
ValueSet-ch-rad-order-modality-type,1
ValueSet-ch-rad-order-maneuver-type,1
ValueSet-ch-rad-order-laterality,1
ValueSet-ch-rad-order-imaging-regi,1
ValueSet-ch-rad-order-imaging-focu,1
ValueSet-ch-rad-order-guidance-for-acti,1
ValueSet-ch-rad-order-caveat-substance,1
ValueSet-ch-rad-order-caveat-lab-observati,1
ValueSet-ch-rad-order-caveat-conditi,1
ValueSet-covid-19-lab-method,1
ValueSet-covid-19-lab-result,1
ValueSet-covid-19-lab-test-manufacturer-and-name,1
ValueSet-elixhauser-neurological-seizure-disorder-v,1
ValueSet-elixhauser-hypertension-complicated-v,1
ValueSet-elixhauser-hypertension-uncomplicated-v,1
ValueSet-elixhauser-hypothyroidism-v,1
ValueSet-elixhauser-liver-disease-mild-v,1
ValueSet-elixhauser-liver-disease-severe-v,1
ValueSet-elixhauser-neurological-movement-disorder-v,1
ValueSet-elixhauser-obesity-v,1
ValueSet-elixhauser-diabetes-uncomplicated-v,1
ValueSet-elixhauser-other-neurological-v,1
ValueSet-elixhauser-other-thyroid-disorder-v,1
ValueSet-elixhauser-paralysis-v,1
ValueSet-elixhauser-peripheral-vascular-disease-v,1
ValueSet-elixhauser-psychosis-v,1
ValueSet-elixhauser-pulmonary-circulation-disorder-v,1
ValueSet-elixhauser-drug-abuse-v,1
ValueSet-elixhauser-diabetes-complicated-v,1
ValueSet-education-level-per,1
ValueSet-elixhauser-cancer-solid-tumor-in-situ-v,1
ValueSet-efce8536-c1aa-4064-94b6-7f9b0fee860,1
ValueSet-elixhauser-alcohol-abuse-v,1
ValueSet-elixhauser-blood-loss-anemia-v,1
ValueSet-elixhauser-cancer-leukemia-v,1
ValueSet-elixhauser-cancer-lymphoma-v,1
ValueSet-elixhauser-cancer-metastatic-v,1
ValueSet-elixhauser-cancer-solid-tumor-malignant-v,1
ValueSet-elixhauser-depression-v,1
ValueSet-elixhauser-cerebrovascular-disease-v,1
ValueSet-elixhauser-chronic-pulmonary-disease-v,1
ValueSet-elixhauser-coagulation-deficiency-v,1
ValueSet-elixhauser-congestive-heart-failure-v,1
ValueSet-elixhauser-deficiency-anemia-v,1
ValueSet-elixhauser-dementia-v,1
ValueSet-elixhauser-renal-failure-moderate-v,1
ValueSet-elixhauser-renal-failure-severe-v,1
ValueSet-elixhauser-rheumatoid-arthritis-v,1
ValueSet-external-genital-exam-value,1
ValueSet-existing-chronic-health-conditi,1
ValueSet-existing-chronic-health-conditions-choice,1
ValueSet-expected-date-of-delivery-edd,1
ValueSet-expected-weight-gai,1
ValueSet-exposure-to-second-hand-smoke,1
ValueSet-extended-release-opioid-with-ambulatory-misuse-potential,1
ValueSet-family-planning-method-provided,1
ValueSet-elixhauser-ulcer-v,1
ValueSet-family-planning-method-provided-choice,1
ValueSet-family-planning-method-provided-value,1
ValueSet-family-planning-method-selected,1
ValueSet-family-planning-method-selected-choice,1
ValueSet-family-relationship-v,1
ValueSet-father-relationship,1
ValueSet-exclusively-breastfeeding,1
ValueSet-example-reasons-for-order,1
ValueSet-example-normal-contexts-vitamin-d,1
ValueSet-example-clinical-focu,1
ValueSet-ethnicity,1
ValueSet-episodeVS,1
ValueSet-entryMode,1
ValueSet-encounter-special-courtesy-v,1
ValueSet-encounter-special-arrangements-v,1
ValueSet-encounter-serviceType-v,1
ValueSet-encounter-service-type-v,1
ValueSet-encounter-discharge-disposition-v,1
ValueSet-encounter-diet-v,1
ValueSet-encounter-admit-source-v,1
ValueSet-emergency-referral,1
ValueSet-elixhauser-weight-loss-v,1
ValueSet-elixhauser-valvular-disease-v,1
ValueSet-education-v,1
ValueSet-edqm-routeofadministrati,1
ValueSet-cpg-activity-type,1
ValueSet-danger-signs-value,1
ValueSet-daily-caffeine-intake,1
ValueSet-daily-caffeine-intake-choice,1
ValueSet-danger-sig,1
ValueSet-danger-signs-choice,1
ValueSet-danger-signs-proceed-value,1
ValueSet-danger-signs-treat-value,1
ValueSet-date-flu-immunization-was-received,1
ValueSet-current-smoking-status-uv-ip,1
ValueSet-date-hepatitis-b-1-immunization-was-received,1
ValueSet-date-hepatitis-b-2-immunization-was-received,1
ValueSet-date-hepatitis-b-3-immunization-was-received,1
ValueSet-date-of-death,1
ValueSet-date-of-miscarriage-or-aborti,1
ValueSet-date-tetanus-toxoid-1-immunization-was-received,1
ValueSet-current-weight,1
ValueSet-current-physiological-symptoms-choice,1
ValueSet-edqm-pharmaceuticaldoseform,1
